,city,colors,shape,state,time
0,Ithaca,,TRIANGLE,NY,1930-06-01 22:00:00
1,Willingboro,,OTHER,NJ,1930-06-30 20:00:00
2,Holyoke,,OVAL,CO,1931-02-15 14:00:00
3,Abilene,,DISK,KS,1931-06-01 13:00:00
4,New York Worlds Fair,,LIGHT,NY,1933-04-18 19:00:00
5,Valley City,,DISK,ND,1934-09-15 15:30:00
6,Crater Lake,,CIRCLE,CA,1935-06-15 00:00:00
7,Alma,,DISK,MI,1936-07-15 00:00:00
8,Eklutna,,CIGAR,AK,1936-10-15 17:00:00
9,Hubbard,,CYLINDER,OR,1937-06-15 00:00:00
10,Fontana,,LIGHT,CA,1937-08-15 21:00:00
11,Waterloo,,FIREBALL,AL,1939-06-01 20:00:00
12,Belton,RED,SPHERE,SC,1939-06-30 20:00:00
13,Keokuk,,OVAL,IA,1939-07-07 02:00:00
14,Ludington,,DISK,MI,1941-06-01 13:00:00
15,Forest Home,,CIRCLE,CA,1941-07-02 11:30:00
16,Los Angeles,,,CA,1942-02-25 00:00:00
17,Hapeville,,,GA,1942-06-01 22:30:00
18,Oneida,,RECTANGLE,TN,1942-07-15 01:00:00
19,Bering Sea,RED,OTHER,AK,1943-04-30 23:00:00
20,Nebraska,,DISK,NE,1943-06-01 15:00:00
21,none,,,LA,1943-08-15 00:00:00
22,none,,LIGHT,LA,1943-08-15 00:00:00
23,Owensboro,,RECTANGLE,KY,1943-10-15 11:00:00
24,Wilderness,,DISK,WV,1944-01-01 10:00:00
25,San Diego,,CIGAR,CA,1944-01-01 12:00:00
26,Wilderness,,DISK,WV,1944-01-01 12:00:00
27,Clovis,,DISK,NM,1944-04-02 11:00:00
28,Los Alamos,,DISK,NM,1944-06-01 12:00:00
29,Ft. Duschene,,DISK,UT,1944-06-30 10:00:00
30,South Kingstown,,SPHERE,RI,1944-07-01 20:00:00
31,North Tampa,,CYLINDER,FL,1944-07-15 13:00:00
32,Ft. Lee,,CIGAR,VA,1945-01-01 12:00:00
33,Salinas AFB,,DISK,CA,1945-06-01 12:00:00
34,Jasper,,FIREBALL,FL,1945-06-01 13:30:00
35,Winston-Salem,,DISK,NC,1945-06-07 07:00:00
36,Portsmouth,RED,FORMATION,VA,1945-07-10 01:30:00
37,Dallas,,SPHERE,TX,1945-07-15 14:00:00
38,Huntington Beach,,DISK,CA,1945-08-08 12:00:00
39,San Antonio,,OVAL,NM,1945-08-16 11:30:00
40,Roswell,,SPHERE,NM,1945-12-15 02:00:00
41,New York City,,DISK,NY,1946-01-08 02:00:00
42,Merced,,SPHERE,CA,1946-02-01 17:00:00
43,Alice,,DISK,TX,1946-03-15 15:30:00
44,Blairsden,GREEN,SPHERE,CA,1946-06-30 19:00:00
45,Index,,FIREBALL,WA,1946-06-30 21:00:00
46,South Portland,,OVAL,ME,1946-07-01 13:30:00
47,Oak Lawn,,FORMATION,IL,1946-09-12 00:00:00
48,Dome,,FLASH,AZ,1946-09-30 20:30:00
49,Conroe,,OTHER,TX,1947-01-10 20:00:00
50,Syracuse,,DISK,NY,1947-02-20 22:15:00
51,Miami,,OTHER,FL,1947-04-15 14:00:00
52,San Deigo,,TRIANGLE,CA,1947-04-15 23:00:00
53,Minden,,,LA,1947-06-01 00:00:00
54,Cleveland,,LIGHT,OH,1947-06-01 02:30:00
55,Espanola,,CIRCLE,NM,1947-06-01 17:00:00
56,Oroville,,,CA,1947-06-01 18:00:00
57,Oakmont,,,PA,1947-06-13 20:18:00
58,Winona,,DISK,MN,1947-06-15 10:00:00
59,Gackle,,OTHER,ND,1947-06-15 14:00:00
60,Madison,,DISK,WI,1947-06-15 18:00:00
61,Hayward,,CIRCLE,CA,1947-06-20 12:00:00
62,Tacoma,,OTHER,WA,1947-06-30 00:00:00
63,Baltimore,,OVAL,MD,1947-06-30 18:00:00
64,Cashmere,,FORMATION,WA,1947-07-01 20:00:00
65,Maywood,,DISK,CA,1947-07-01 20:00:00
66,Wexford,BLUE,,PA,1947-07-01 20:00:00
67,Sioux Falls,,,SD,1947-07-04 00:00:00
68,Seattle,,OVAL,WA,1947-07-04 17:30:00
69,Dell Rapids,,,SD,1947-07-05 00:00:00
70,Philadelphia,,DISK,PA,1947-07-05 11:30:00
71,Roswell,,,NM,1947-07-07 00:00:00
72,Johnston City,,DISK,IL,1947-07-09 20:00:00
73,Roswell,,,NM,1947-07-11 00:00:00
74,Syracuse,,CIGAR,NY,1947-07-14 10:30:00
75,Richmond,,CIRCLE,CA,1947-07-14 11:00:00
76,Las Vegas,,DISK,NV,1947-07-15 10:00:00
77,Keeneyville,,FORMATION,IL,1947-07-15 12:00:00
78,Clintwood,,CYLINDER,VA,1947-07-15 15:00:00
79,Hazelton,,DISK,ID,1947-07-15 15:00:00
80,Minneapolis,,DISK,MN,1947-07-15 17:00:00
81,Morehouse,,CYLINDER,MO,1947-07-15 21:00:00
82,San Jose,BLUE,CHEVRON,CA,1947-07-15 21:00:00
83,Raton,,OVAL,NM,1947-07-20 22:00:00
84,Modesto,BLUE,DISK,CA,1947-08-08 22:00:00
85,Green Valley,,,WI,1947-08-10 20:00:00
86,Henrietta,,LIGHT,OK,1947-08-12 01:00:00
87,Saranac Lake,,DISK,NY,1947-08-12 22:00:00
88,Proctor,,CIGAR,OK,1947-08-15 20:15:00
89,Whitmore Lake,,CIGAR,MI,1947-12-24 21:00:00
90,Kelseyville,,DISK,CA,1948-04-30 12:00:00
91,Scipio,RED,SPHERE,IN,1948-05-10 19:00:00
92,Borger,,DISK,TX,1948-06-15 16:00:00
93,Baltimore,,OVAL,MD,1948-06-30 00:00:00
94,Jim Ridge,,,WV,1948-06-30 08:00:00
95,Ojai,,LIGHT,CA,1948-07-15 22:00:00
96,New York City,,CIRCLE,NY,1948-08-01 02:00:00
97,Conshohocken,,OVAL,PA,1948-08-15 12:00:00
98,Sharpsburg,,CIRCLE,MD,1948-12-12 23:30:00
99,Seattle,,DISK,WA,1949-04-10 15:00:00
100,Oak Ridge,,OTHER,WV,1949-05-01 14:00:00
101,Grays,,LIGHT,SC,1949-05-15 06:30:00
102,Los Angeles,,CIRCLE,CT,1949-06-04 10:00:00
103,Anchorage,,DISK,AK,1949-06-10 21:00:00
104,Knoxville,,OTHER,TN,1949-06-30 15:00:00
105,Salem,,CIGAR,OR,1949-06-30 21:00:00
106,Fairbanks,,DISK,AK,1949-07-01 11:00:00
107,Marion,,FORMATION,AL,1949-07-01 16:00:00
108,Booneville,,,MS,1949-07-15 20:30:00
109,Excelsior,,CIRCLE,MN,1949-08-15 00:00:00
110,Mill Valley,,LIGHT,CA,1949-08-15 21:00:00
111,Tarrant City,ORANGE,CIRCLE,AL,1949-08-15 22:00:00
112,Steilacoom,,DISK,WA,1949-08-25 19:00:00
113,Mt Gilead,,CIRCLE,OH,1949-09-15 21:00:00
114,Post,,DISK,TX,1949-09-15 21:00:00
115,San Marcos,,CYLINDER,TX,1949-10-10 20:30:00
116,Lackland AFB,,LIGHT,TX,1949-10-10 21:00:00
117,Baltimore,,CIGAR,MD,1949-10-15 20:00:00
118,Mount Hope,,,WV,1950-01-01 22:00:00
119,New York City,,OVAL,NY,1950-01-02 00:00:00
120,Roswell,RED,,NM,1950-03-22 00:00:00
121,Arkansas,,DISK,AR,1950-04-15 08:00:00
122,Waynesborough,,DISK,VA,1950-04-15 14:00:00
123,Fort Lewis,,TRIANGLE,WA,1950-05-12 14:00:00
124,Crowder,,,MS,1950-06-01 00:00:00
125,Philadelphia,,DISK,MS,1950-06-01 16:00:00
126,Pittsburgh,,OVAL,PA,1950-06-01 20:00:00
127,Kensington,,OVAL,MD,1950-06-07 20:00:00
128,Kansas City,,DISK,MO,1950-06-08 10:00:00
129,Napa,GREEN,DISK,CA,1950-06-10 00:00:00
130,Grosse Pointe Park,,OVAL,MI,1950-06-15 13:00:00
131,Bonifay,,DISK,FL,1950-06-15 20:00:00
132,Fort Worth,,DISK,TX,1950-06-15 20:00:00
133,Booneville,,DISK,MS,1950-06-20 10:00:00
134,Galveston,,SPHERE,TX,1950-06-20 17:00:00
135,Lac Du Flambeau,,DISK,WI,1950-06-30 16:00:00
136,Florence,,DISK,CO,1950-06-30 17:30:00
137,Florence,,LIGHT,CO,1950-06-30 17:30:00
138,Coeur d'Alene,ORANGE,CIGAR,ID,1950-07-02 13:00:00
139,Bay St. Louis,,LIGHT,MS,1950-07-02 21:00:00
140,East Palestine,,LIGHT,OH,1950-07-10 20:30:00
141,Newark,,SPHERE,NJ,1950-07-15 21:30:00
142,Los Padres National Forest,,FORMATION,CA,1950-07-15 23:00:00
143,Smithport,,DISK,PA,1950-07-20 21:30:00
144,Louisville,,OTHER,KY,1950-08-01 04:00:00
145,Stanfield,,DISK,OR,1950-08-15 14:00:00
146,Pikeville,,DISK,KY,1950-10-01 11:00:00
147,Sandy Hook,,TRIANGLE,NJ,1950-10-15 15:00:00
148,Half Moon Bay,,OTHER,CA,1950-12-12 22:00:00
149,Palm Springs,,CIGAR,CA,1951-01-20 04:30:00
150,Thompsonville,,DISK,CT,1951-02-03 22:00:00
151,Los Angeles,,DISK,CA,1951-02-15 11:00:00
152,Irving,BLUE,DISK,KS,1951-04-15 00:30:00
153,Fort Sill,,OVAL,OK,1951-05-15 03:00:00
154,Oklahoma,,CIGAR,OK,1951-06-01 19:00:00
155,Jasper,,OVAL,NC,1951-06-03 13:00:00
156,Mount Pinos,,DISK,CA,1951-06-06 02:00:00
157,Greenville,GREEN,DISK,MS,1951-06-15 20:30:00
158,Jackson Heights,,DISK,NY,1951-06-30 07:00:00
159,Birmingham,,,AL,1951-06-30 19:00:00
160,Otis Orchards,,DISK,WA,1951-07-01 03:00:00
161,Atlanta,,,GA,1951-07-01 14:00:00
162,Calaveras County,,DISK,CA,1951-07-03 03:00:00
163,Green River,GREEN,SPHERE,WY,1951-07-03 12:00:00
164,Provo,BLUE,DISK,UT,1951-07-10 23:30:00
165,Spokane Valley,,SPHERE,WA,1951-07-15 14:00:00
166,Sunland,,CIRCLE,CA,1951-08-10 01:00:00
167,Altoona,,DISK,PA,1951-08-15 13:00:00
168,Jacksonville,,DISK,FL,1951-10-15 20:00:00
169,Holloman AFB,,CIRCLE,NM,1951-11-15 06:00:00
170,Salt Lake City,,,UT,1952-01-01 00:00:00
171,Binghamton,,DISK,NY,1952-02-10 21:00:00
172,Nellis AFB,,DISK,NV,1952-02-17 18:00:00
173,Chicago,,DISK,IL,1952-04-15 13:00:00
174,Greenville,ORANGE,TRIANGLE,TX,1952-04-15 16:00:00
175,Pittsburgh,,CYLINDER,PA,1952-05-15 10:15:00
176,Allyn,,DISK,WA,1952-05-15 20:00:00
177,Dousman,,,WI,1952-06-01 11:00:00
178,Norfolk,RED,FIREBALL,VA,1952-06-01 22:00:00
179,Evergreen,,DISK,CO,1952-06-06 13:00:00
180,Chicago,,CIRCLE,IL,1952-06-10 12:00:00
181,Fortville,,DISK,IN,1952-06-13 07:30:00
182,Luke Airforce Base,,EGG,AZ,1952-06-15 00:00:00
183,Piedra Blanka,,CIGAR,CA,1952-06-15 00:00:00
184,Jacksonville,,TRIANGLE,FL,1952-06-15 21:00:00
185,Maywood,,CIRCLE,CA,1952-06-15 23:00:00
186,Lansing,,OTHER,MI,1952-06-21 22:00:00
