,Rk,Unnamed: 1,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,team_name
0,1,Kyle Lowry,35,39,1333,14.6,0.555,0.588,0.263,2.0,12.7,7.3,35.3,1.5,1.2,20.2,19.6,1.9,1.5,3.4,0.121,0.8,0.2,1.0,1.0,MIA
1,2,Tyler Herro,22,38,1250,15.6,0.54,0.382,0.179,2.3,14.4,8.3,20.9,1.0,0.5,12.7,29.6,0.6,1.2,1.8,0.069,1.3,-1.4,-0.1,0.6,MIA
2,3,Duncan Robinson,27,44,1222,10.9,0.557,0.838,0.089,1.7,11.3,6.5,8.0,1.3,0.8,7.3,18.3,1.1,1.2,2.3,0.089,-0.3,-0.3,-0.6,0.4,MIA
3,4,P.J. Tucker,36,41,1161,12.5,0.615,0.484,0.155,6.3,15.8,11.1,10.9,1.4,1.0,12.7,11.8,1.9,1.3,3.2,0.133,0.1,1.0,1.1,0.9,MIA
4,5,Jimmy Butler,32,29,971,25.6,0.585,0.124,0.505,5.9,14.3,10.1,30.0,2.8,1.4,9.6,26.7,3.7,1.4,5.2,0.255,5.5,2.3,7.8,2.4,MIA
5,6,Max Strus,25,36,862,14.2,0.618,0.734,0.125,2.0,14.1,8.0,8.2,0.6,0.9,7.2,18.7,1.5,0.8,2.3,0.128,2.0,-0.8,1.2,0.7,MIA
6,7,Gabe Vincent,25,38,857,12.2,0.567,0.602,0.134,2.0,7.5,4.7,20.5,2.1,1.3,16.4,18.6,0.7,0.9,1.6,0.092,-1.1,0.4,-0.8,0.3,MIA
7,8,Caleb Martin,26,37,856,16.0,0.611,0.381,0.224,6.1,13.1,9.6,6.1,2.3,2.6,9.2,16.8,1.4,1.2,2.7,0.149,0.5,0.9,1.4,0.7,MIA
8,9,Bam Adebayo,24,22,723,19.6,0.581,0.003,0.466,8.7,25.1,16.9,16.6,1.9,1.8,15.9,25.4,1.1,1.2,2.3,0.15,0.7,1.5,2.2,0.8,MIA
9,10,Dewayne Dedmon,32,40,672,17.9,0.664,0.118,0.315,12.6,28.8,20.7,7.0,1.2,3.3,16.8,16.1,1.4,1.1,2.6,0.183,-0.4,0.6,0.2,0.4,MIA
10,11,Omer Yurtseven,23,36,545,18.1,0.545,0.037,0.266,13.6,34.1,23.9,11.8,1.4,3.6,13.9,19.8,0.7,1.0,1.7,0.153,-1.2,0.6,-0.5,0.2,MIA
11,12,KZ Okpala,22,21,244,10.7,0.521,0.377,0.159,5.1,13.8,9.5,8.3,0.8,3.1,6.3,14.3,0.2,0.3,0.5,0.1,-2.7,0.1,-2.6,0.0,MIA
12,13,Markieff Morris,32,10,187,10.6,0.533,0.314,0.071,7.8,9.0,8.4,11.6,0.8,0.6,14.3,19.9,0.1,0.1,0.2,0.055,-1.3,-0.4,-1.7,0.0,MIA
13,14,Kyle Guy,24,9,137,14.2,0.618,0.604,0.104,0.8,7.4,4.1,16.9,1.5,0.8,10.7,18.2,0.3,0.1,0.4,0.131,0.1,0.4,0.5,0.1,MIA
14,15,Marcus Garrett,23,12,128,4.8,0.28,0.19,0.238,7.9,12.3,10.1,7.0,2.0,2.6,7.9,8.7,-0.1,0.2,0.1,0.03,-6.0,0.8,-5.2,-0.1,MIA
15,16,Chris Silva,25,7,63,16.2,0.69,0.0,0.769,17.9,28.6,23.2,6.9,0.0,0.0,18.7,15.0,0.2,0.1,0.3,0.203,-2.3,-0.6,-2.8,0.0,MIA
16,17,Udonis Haslem,41,8,52,14.7,0.563,0.1,0.15,8.7,28.1,18.4,6.2,1.0,2.1,8.6,19.9,0.1,0.1,0.2,0.141,-2.5,0.4,-2.2,0.0,MIA
17,18,Haywood Highsmith,25,4,42,11.0,0.75,0.875,0.0,5.4,8.0,6.7,0.0,0.0,2.6,0.0,8.4,0.1,0.0,0.1,0.138,0.2,-0.9,-0.7,0.0,MIA
18,19,Nik Stauskas,28,2,24,13.6,0.564,0.5,0.5,4.7,9.4,7.0,6.0,0.0,0.0,0.0,18.0,0.1,0.0,0.1,0.148,0.3,-1.4,-1.0,0.0,MIA
0,1,DeMar DeRozan,32,42,1463,23.1,0.582,0.093,0.413,2.5,13.3,7.9,23.5,1.1,0.9,8.8,31.2,4.1,1.1,5.2,0.17,3.4,-1.0,2.4,1.6,CHI
1,2,Zach LaVine,26,39,1327,21.0,0.609,0.393,0.254,1.0,14.6,7.8,21.0,0.9,0.9,12.2,30.0,2.6,1.0,3.6,0.129,4.5,-1.3,3.2,1.8,CHI
2,3,Nikola Vučević,31,39,1296,17.7,0.502,0.323,0.094,6.7,30.7,18.7,16.2,1.5,3.2,9.3,24.0,0.5,2.0,2.5,0.094,0.7,0.2,0.9,1.0,CHI
3,4,Lonzo Ball,24,35,1212,14.8,0.575,0.679,0.073,3.2,14.1,8.6,20.4,2.6,2.2,17.2,17.3,1.1,1.5,2.6,0.102,1.2,1.4,2.6,1.4,CHI
4,5,Ayo Dosunmu,22,42,944,11.4,0.629,0.352,0.185,1.9,10.6,6.2,11.9,1.1,1.6,16.0,13.9,0.9,0.7,1.6,0.082,-1.6,-0.2,-1.7,0.1,CHI
5,6,Alex Caruso,27,28,775,14.0,0.563,0.478,0.324,3.6,11.8,7.7,18.7,3.4,1.2,16.1,14.0,0.9,1.0,2.0,0.121,-1.0,2.8,1.7,0.7,CHI
6,7,Coby White,21,28,762,12.6,0.556,0.52,0.179,1.2,10.7,5.9,14.0,1.0,0.9,10.4,20.5,0.6,0.5,1.1,0.068,-1.0,-1.7,-2.7,-0.1,CHI
7,8,Javonte Green,28,30,668,11.9,0.591,0.258,0.328,7.3,13.4,10.3,5.7,1.9,1.7,10.4,10.7,1.0,0.7,1.7,0.119,-1.6,0.6,-1.1,0.2,CHI
8,9,Troy Brown Jr.,22,35,580,10.5,0.511,0.466,0.151,4.2,16.1,10.2,10.1,1.8,0.6,9.8,13.1,0.3,0.6,0.9,0.073,-1.8,0.0,-1.8,0.0,CHI
9,10,Derrick Jones Jr.,24,31,533,15.7,0.689,0.303,0.377,7.7,13.8,10.8,4.2,1.4,3.8,10.1,13.0,1.3,0.6,1.9,0.172,-0.2,0.9,0.7,0.4,CHI
10,11,Tony Bradley,24,33,397,14.7,0.588,0.0,0.185,12.2,25.3,18.7,6.6,0.9,5.3,18.8,13.5,0.4,0.6,1.0,0.12,-1.9,0.5,-1.5,0.1,CHI
11,12,Matt Thomas,27,23,282,11.3,0.589,0.663,0.151,0.8,9.8,5.3,6.9,1.0,0.3,6.1,15.2,0.3,0.2,0.5,0.082,-0.2,-1.3,-1.5,0.0,CHI
12,13,Alfonzo McKinnie,29,14,200,6.2,0.47,0.441,0.102,7.2,9.4,8.3,3.4,0.5,1.3,10.2,15.1,-0.1,0.1,0.0,0.002,-5.1,-3.4,-8.5,-0.3,CHI
13,14,Tyler Cook,24,12,154,14.0,0.685,0.0,0.75,8.6,21.5,15.0,2.6,1.3,1.7,13.9,12.3,0.3,0.2,0.5,0.154,-2.5,-0.5,-3.0,0.0,CHI
14,15,Patrick Williams,20,5,125,9.5,0.666,0.261,0.174,0.9,8.8,4.9,3.2,1.2,1.4,7.5,9.4,0.2,0.1,0.2,0.093,-2.5,0.4,-2.1,0.0,CHI
15,16,Alize Johnson,25,16,121,10.4,0.537,0.087,0.304,14.6,18.2,16.4,8.8,1.2,0.0,23.5,12.4,0.1,0.1,0.2,0.075,-3.1,-0.8,-3.9,-0.1,CHI
16,17,Devon Dotson,22,11,85,10.1,0.538,0.391,0.391,1.3,10.4,5.8,24.3,0.6,0.0,15.6,16.5,0.1,0.0,0.1,0.063,-3.1,-1.5,-4.6,-0.1,CHI
17,18,Malcolm Hill,26,6,77,9.2,0.557,0.611,0.333,7.2,7.2,7.2,5.2,0.6,0.0,4.6,12.3,0.1,0.0,0.1,0.093,-3.1,-2.5,-5.6,-0.1,CHI
18,19,Marko Simonovic,22,9,35,10.5,0.428,0.333,0.733,15.8,15.7,15.8,0.0,1.4,2.5,9.2,27.4,0.0,0.0,0.0,0.006,-5.8,-5.1,-10.9,-0.1,CHI
19,20,Mac McClung,23,1,3,9.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.2,0.0,0.0,0.0,-0.245,-6.7,-8.5,-15.2,0.0,CHI
20,21,Jordan Bell,27,1,2,29.9,,,,55.2,0.0,27.6,0.0,24.4,0.0,,0.0,0.0,0.0,0.0,0.612,-7.8,10.6,2.9,0.0,CHI
0,1,James Harden,32,41,1515,21.4,0.583,0.44,0.509,2.8,19.6,11.6,39.8,1.7,1.7,19.7,28.3,3.1,1.8,4.9,0.155,4.1,0.3,4.4,2.4,BRK
1,2,Patty Mills,33,45,1395,12.7,0.602,0.696,0.071,0.8,6.4,3.7,11.4,1.0,0.8,8.2,17.0,2.0,0.6,2.7,0.092,1.1,-1.5,-0.4,0.6,BRK
2,3,Kevin Durant,33,36,1313,26.2,0.626,0.247,0.35,1.7,19.4,10.9,27.2,1.0,2.3,11.3,31.2,4.5,1.4,5.8,0.214,6.7,0.6,7.3,3.1,BRK
3,4,Bruce Brown,25,37,788,12.3,0.537,0.161,0.156,6.8,14.8,11.0,7.2,2.5,2.1,10.0,13.7,0.7,1.0,1.7,0.102,-2.6,1.2,-1.4,0.1,BRK
4,5,DeAndre' Bembry,27,40,769,12.8,0.619,0.171,0.177,4.1,13.0,8.7,8.4,2.6,2.4,12.4,11.3,0.9,1.0,1.9,0.118,-1.7,1.7,0.0,0.4,BRK
5,6,LaMarcus Aldridge,36,33,757,20.9,0.615,0.106,0.171,7.4,18.1,13.0,6.5,0.8,4.2,7.4,22.4,1.7,0.8,2.6,0.162,1.9,-0.6,1.4,0.7,BRK
6,7,Blake Griffin,32,36,656,12.3,0.469,0.466,0.267,6.9,18.5,12.9,15.1,1.3,1.5,6.5,16.2,0.6,0.7,1.3,0.096,-1.7,0.2,-1.6,0.1,BRK
7,8,Cam Thomas,20,35,607,10.7,0.507,0.379,0.144,1.1,13.2,7.4,8.3,1.4,0.6,9.1,20.2,-0.2,0.5,0.3,0.026,-2.5,-1.4,-3.8,-0.3,BRK
8,9,James Johnson,34,31,533,10.1,0.502,0.238,0.131,6.1,14.7,10.6,13.0,1.2,1.8,11.6,12.6,0.3,0.5,0.8,0.074,-2.5,0.0,-2.5,-0.1,BRK
9,10,Nic Claxton,22,20,443,18.3,0.661,0.0,0.32,9.6,16.5,13.2,6.2,1.2,4.5,9.7,15.0,1.1,0.5,1.6,0.176,0.1,0.0,0.2,0.2,BRK
10,11,Joe Harris,30,14,423,9.9,0.624,0.71,0.048,1.3,12.4,7.1,4.5,0.8,0.4,11.2,14.6,0.3,0.3,0.6,0.067,-0.8,-0.7,-1.5,0.0,BRK
